cluster_count,inertia,silhouette_score,bootstrap_adjusted_rand_mean,bootstrap_adjusted_rand_std,minimum_cluster_size,sample_size_rule_passed,selection_score
2,678.757169043917,0.217051620669407,0.9132191340525262,0.29583123343931483,44,True,0.19821569307241327
3,559.864494242456,0.25347088730073275,0.9563980807333408,0.12181067369834546,22,True,0.2424190701361977
4,483.6649313070037,0.2595684678759454,0.8307386560460871,0.18746616795550436,18,True,0.21563356015520482
5,409.11769094269613,0.28332609918497875,0.9656931445265071,0.03394495405898531,18,True,0.2736060716483712
6,374.18119592247336,0.26900324977020723,0.8698006343931303,0.13898258139637285,18,True,0.23397919730393993
