topic_id,topic_label,top_terms,top_term_weights
1,可爱 / 喜欢 / 抽到,可爱|喜欢|抽到|非常|好看|隐藏|做工|宝宝|超级|两个|想要|特别|开心|精致|支持,0.049784|0.040011|0.035456|0.034825|0.021069|0.020763|0.019193|0.017257|0.016734|0.015232|0.014787|0.014318|0.014015|0.011790|0.011258
2,喜欢 / 盲盒 / 孩子,喜欢|盲盒|孩子|不错|还是|非常|小朋友|朋友|客服|考古|但是|挖出来|质量|比较|三星堆,0.041903|0.025543|0.021182|0.018108|0.013539|0.013469|0.013461|0.010820|0.010089|0.009626|0.008572|0.008527|0.008513|0.007960|0.007955
