topic_count,heldout_perplexity,topic_diversity_top10,topic_separation_top10,umass_coherence_top10,heldout_perplexity_normalized,selection_score
2,953.6459911777307,0.9,0.8888888888888888,-2.409714832281824,0.0,0.9422222222222222
3,1583.531478191975,0.9,0.9278752436647173,-2.2483467202239993,0.129616091795206,0.8936415696083366
4,2447.427936575819,0.825,0.9072354087833964,-2.3027829665411312,0.30738631346234124,0.7859850111377955
5,3697.46490880101,0.68,0.8612401100791194,-2.3036005593238373,0.5646154611084715,0.6152330700209676
6,5813.270118785793,0.6166666666666667,0.8637885563582158,-2.2559698409262605,1.0,0.40094713908955393
