class_or_average,precision,recall,f1-score,support
Negative,0.23333333333333334,0.5833333333333334,0.3333333333333333,12.0
Neutral / Mixed,0.25,0.13636363636363635,0.17647058823529413,22.0
Positive,0.8913043478260869,0.8424657534246576,0.8661971830985915,146.0
accuracy,0.7388888888888889,0.7388888888888889,0.7388888888888889,0.7388888888888889
macro avg,0.45821256038647346,0.5207209077072091,0.45866703488907296,180.0
weighted avg,0.7690579710144928,0.7388888888888889,0.7463730092976157,180.0
