product_id,source_platform,collection_date,price_cny,sales_lower_bound,sales_is_censored,sales_observed,official_store_claimed,museum_name,museum_ip_flag,product_category,product_format,price_tier,title_length_chars,keyword_excavation,keyword_gift,keyword_collectible,cluster_id,interpreted_cluster_label
product_d87d3fbc91b6,Hooos public Taobao/Tmall listing index,2026-08-29,13.9,36.0,False,True,False,Palace Museum,True,Excavation Kit,Excavation / DIY Kit,Budget (<=50 CNY),29,True,False,False,3,Budget marketplace excavation kits
product_367c80f02918,Hooos public Taobao/Tmall listing index,2026-08-29,178.0,2.0,False,True,True,Sanxingdui,True,Figurine / Display,Excavation / DIY Kit,Premium (101-200 CNY),33,False,True,False,5,Sales-visible character collectibles
product_4f8ffba98fce,Hooos public Taobao/Tmall listing index,2026-08-29,25.3,24.0,False,True,False,Other / Unclear,False,Excavation Kit,Excavation / DIY Kit,Budget (<=50 CNY),30,True,False,False,3,Budget marketplace excavation kits
product_664b08be356c,Hooos public Taobao/Tmall listing index,2026-08-29,3.01,59.0,False,True,False,Other / Unclear,False,Excavation Kit,Excavation / DIY Kit,Budget (<=50 CNY),31,True,False,False,3,Budget marketplace excavation kits
product_07b0707e5278,Hooos public Taobao/Tmall listing index,2026-08-29,30.8,,False,False,False,Dunhuang,True,Excavation Kit,Excavation / DIY Kit,Budget (<=50 CNY),30,True,False,False,3,Budget marketplace excavation kits
product_9514a2515744,Hooos public Taobao/Tmall listing index,2026-08-29,7.1,,False,False,False,Other / Unclear,False,Excavation Kit,Excavation / DIY Kit,Budget (<=50 CNY),30,True,True,False,3,Budget marketplace excavation kits
product_4a5f3de70a6e,Hooos public Taobao/Tmall listing index,2026-08-29,39.0,,False,False,False,Other / Unclear,False,Figurine / Display,Plush / Bag Charm,Budget (<=50 CNY),28,False,True,False,2,Broad museum collectible assortment
product_381af17d0b9f,Hooos public Taobao/Tmall listing index,2026-08-29,7.1,41.0,False,True,False,Henan Museum,True,Excavation Kit,Excavation / DIY Kit,Budget (<=50 CNY),30,True,True,False,3,Budget marketplace excavation kits
product_2fb43506bf0c,Hooos public Taobao/Tmall listing index,2026-08-29,58.88,,False,False,True,Terracotta Warriors,True,Figurine / Display,Plush / Bag Charm,Mass Market (51-100 CNY),30,False,False,False,2,Broad museum collectible assortment
product_5bd456b7d304,Hooos public Taobao/Tmall listing index,2026-08-29,8.7,,False,False,False,Other / Unclear,False,Excavation Kit,Excavation / DIY Kit,Budget (<=50 CNY),30,True,True,False,3,Budget marketplace excavation kits
product_591e6f317b25,Hooos public Taobao/Tmall listing index,2026-08-29,24.6,,False,False,True,Chengdu Museum,True,Figurine / Display,Magnet,Budget (<=50 CNY),30,False,True,False,2,Broad museum collectible assortment
product_fc7ff29ff4a0,Hooos public Taobao/Tmall listing index,2026-08-29,44.3,,False,False,False,Terracotta Warriors,True,Figurine / Display,Plush / Bag Charm,Budget (<=50 CNY),30,False,True,False,2,Broad museum collectible assortment
product_fdb1bc0c5592,Hooos public Taobao/Tmall listing index,2026-08-29,44.2,,False,False,True,Terracotta Warriors,True,Figurine / Display,Plush / Bag Charm,Budget (<=50 CNY),30,False,True,False,2,Broad museum collectible assortment
product_dd6ed3da14ab,Hooos public Taobao/Tmall listing index,2026-08-29,79.0,,False,False,True,Sanxingdui,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_e26bf85abbab,Hooos public Taobao/Tmall listing index,2026-08-29,34.3,,False,False,True,Gansu Museum,True,Figurine / Display,Plush / Bag Charm,Budget (<=50 CNY),30,False,True,False,2,Broad museum collectible assortment
product_cac0cc9bb3e3,Hooos public Taobao/Tmall listing index,2026-08-29,22.0,,False,False,False,Other / Unclear,False,Figurine / Display,Figurine,Budget (<=50 CNY),30,False,True,True,2,Broad museum collectible assortment
product_be36823abd3b,Hooos public Taobao/Tmall listing index,2026-08-29,51.9,100.0,False,True,True,Gansu Museum,True,Figurine / Display,Figurine,Mass Market (51-100 CNY),30,False,True,True,2,Broad museum collectible assortment
product_276c01007a96,Hooos public Taobao/Tmall listing index,2026-08-29,7.1,31.0,False,True,False,Other / Unclear,False,Excavation Kit,Excavation / DIY Kit,Budget (<=50 CNY),30,True,False,False,3,Budget marketplace excavation kits
product_49eca84318b8,Hooos public Taobao/Tmall listing index,2026-08-29,50.35,21.0,False,True,False,Other / Unclear,False,Figurine / Display,Other Blind-box Format,Mass Market (51-100 CNY),29,False,True,False,2,Broad museum collectible assortment
product_6eadcbeda1a6,Hooos public Taobao/Tmall listing index,2026-08-29,39.0,,False,False,True,Gansu Museum,True,Figurine / Display,Magnet,Budget (<=50 CNY),30,False,True,False,2,Broad museum collectible assortment
product_0cdfcaad6af3,Hooos public Taobao/Tmall listing index,2026-08-29,37.0,,False,False,True,Dunhuang,True,Figurine / Display,Magnet,Budget (<=50 CNY),28,False,True,False,2,Broad museum collectible assortment
